doc_id,title,question,reference_answer,generated_answer,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore,retrieval_hit,manual_score
GS2_2022_EffectOf_2,GS-II 2022 Q2,Clean energy is the order of the day.' Describe briefly India's changing policy towards climate change in various international fora in the context of geopolitics.,,,,,,,,,
GS2_2021_EffectOf_3,GS-II 2021 Q3,"""The USA is facing an existential threat in the form of a China, that is much more challenging than the erstwhile Soviet Union."" Explain.",,,,,,,,,
GS2_2021_EffectOf_4,GS-II 2021 Q4,"""If the last few decades were of Asia's growth story, the next few are expected to be of Africa's."" In the light of this statement, examine India's influence in Africa in recent years.",,,,,,,,,
GS2_2020_EffectOf_5,GS-II 2020 Q5,'Indian diaspora has a decisive role to play in the politics and economy of America and European Countries'. Comment with examples.,,,,,,,,,
GS2_2019_EffectOf_6,GS-II 2019 Q6,"'The time has come for India and Japan to build a strong contemporary relationship, one involving global and strategic partnership that will have a great significance for Asia and the world as a whole.' Comment.",,,,,,,,,
GS2_2019_EffectOf_7,GS-II 2019 Q7,"""The long-sustained image of India as a leader of the oppressed and marginalized Nations has disappeared on account of its new-found role in the emerging global order"". Elaborate.",,,,,,,,,
GS2_2019_EffectOf_8,GS-II 2019 Q8,"""What introduces friction into the ties between India and the United States is that Washington is still unable to find for India a position in its global strategy, which would satisfy India's National self- esteem and ambitions"" Explain with suitable examples.",,,,,,,,,
GS2_2018_EffectOf_9,GS-II 2018 Q9,In what ways would the ongoing US-Iran Nuclear Pact Controversy affect the national interest of India? How should India respond to this situation?,,,,,,,,,
GS2_2018_EffectOf_10,GS-II 2018 Q10,"'India's relations with Israel have, of late, acquired a depth and diversity, which cannot be rolled back."" Discuss.",,,,,,,,,
GS2_2017_EffectOf_11,GS-II 2017 Q11,The question of India's Energy Security constitutes the most important part of India's economic progress. Analyze India's energy policy cooperation with West Asian Countries.,,,,,,,,,
GS2_2017_EffectOf_12,GS-II 2017 Q12,Indian Diaspora has an important role to play in South-East Asian countries' economy and society. Appraise the role of Indian Diaspora in South- East Asia in this context,,,,,,,,,
GS2_2016_EffectOf_13,GS-II 2016 Q13,Evaluate the economic and strategic dimensions of India's Look East Policy in the context of the post-Cold War international scenario.,,,,,,,,,
GS2_2015_EffectOf_14,GS-II 2015 Q14,Increasing interest of India in Africa has its pros and cons. Critically examine.,,,,,,,,,
GS2_2013_EffectOf_15,GS-II 2013 Q15,Economic ties between India and Japan while growing in the recent years are still far below their potential. Elucidate the policy constraints which are inhibiting this growth.,,,,,,,,,
GS2_2022_ImportantInternational_1,GS-II 2022 Q1,Do you think that BIMSTEC is a parallel organisation like the SAARC? What are the similarities and dissimilarities between the two? How are Indian Foreign Policy objectives realised by forming this new organisation?,,,,,,,,,
GS2_2021_ImportantInternational_2,GS-II 2021 Q2,The newly tri-nation partnership AUKUS is aimed at countering China's ambitions in the Indo- Pacific region. Is it going to supersede the existing partnerships in the region? Discuss the strength and impact of AUKUS in the present scenario,,,,,,,,,
GS2_2021_ImportantInternational_3,GS-II 2021 Q3,Critically examine the aims and objectives of SCO. what importance does it hold for India?,,,,,,,,,
GS2_2020_ImportantInternational_4,GS-II 2020 Q4,Critically examine the role of WHO in providing global health security during the COVID-19 pandemic.,,,,,,,,,
GS2_2020_ImportantInternational_5,GS-II 2020 Q5,What is the significance of Indo-US defence deals over Indo-Russian defence deals? Discuss with reference to stability in the Indo-Pacific region.,,,,,,,,,
GS2_2020_ImportantInternational_6,GS-II 2020 Q6,"'Quadrilateral Security Dialogue (QUAD)' is the transforming itself into a trade bloc from a military alliance, in present times – Discuss.",,,,,,,,,
GS2_2019_ImportantInternational_7,GS-II 2019 Q7,"'Too little cash, too much politics, leaves UNESCO fighting for life.' Discuss the statement in the light of US' withdrawal and its accusation of the cultural body as being 'anti-Israel bias'.",,,,,,,,,
GS2_2018_ImportantInternational_8,GS-II 2018 Q8,"A number or outside powers have entrenched themselves in Central Asia, which is a zone to interest to India. Discuss the implications, in this context, of India's joining the Ashgabat Agreement, 2018.",,,,,,,,,
GS2_2018_ImportantInternational_9,GS-II 2018 Q9,"What are the key areas of reform if the WTO has to survive in the present context of 'Trade War', especially keeping in mind the interest of India?",,,,,,,,,
GS2_2017_ImportantInternational_10,GS-II 2017 Q10,What are the main functions of the United Nations Economic and Social Council (ECOSOC)? Explain different functional commissions attached to it.,,,,,,,,,
GS2_2016_ImportantInternational_11,GS-II 2016 Q11,"""The broader aims and objectives of WTO are to manage and promote international trade in the era of globalization. But the Doha round of negotiations seem doomed due to differences between the developed and the developing countries."" Discuss in the Indian perspective.",,,,,,,,,
GS2_2016_ImportantInternational_12,GS-II 2016 Q12,What are the aims and objectives of the McBride Commission of the UNESCO? What is India's position on these?,,,,,,,,,
GS2_2015_ImportantInternational_13,GS-II 2015 Q13,Discuss the impediments India is facing in its pursuit of a permanent seat in UN Security Council.,,,,,,,,,
GS2_2014_ImportantInternational_14,GS-II 2014 Q14,The aim of Information Technology Agreements (ITAs) is to lower all taxes and tariffs on information technology products by signatories to zero. What impact should such agreements have on India's interests?,,,,,,,,,
GS2_2014_ImportantInternational_15,GS-II 2014 Q15,"Some of the International funding agencies have special terms for economic participation stipulating a substantial component of the aid to be used for sourcing equipment from the leading countries. Discuss on merits of such terms and if, there exists a strong case not to accept such conditions in the Indian context.",,,,,,,,,
GS2_2014_ImportantInternational_16,GS-II 2014 Q16,India has recently signed to become founding a New Development Bank (NDB) and also the Asian Infrastructure Investment Bank (AIIB). How will the role of the two Banks be different? Discuss the significance of these two Banks for India.,,,,,,,,,
GS2_2014_ImportantInternational_17,GS-II 2014 Q17,WTO is an important international institution where decisions taken affect countries in profound manner. What is the mandate of WTO and how binding are their decisions? Critically analyse India's stand on the latest round of talks on Food security.,,,,,,,,,
GS2_2013_ImportantInternational_18,GS-II 2013 Q18,"The World Bank and the IMF, collectively known as the Bretton Woods Institutions, are the two inter-governmental pillars supporting the structure of the world's economic and financial order. Superficially, the World Bank and the IMF exhibit many common characteristics, yet their role, functions and mandate are distinctly different. Elucidate. EDITORIAL DISCUSSION PRELIMS BOOSTER JOIN COURSES HERE OPTIONAL",,,,,,,,,
